"idade_posse","valor_total_declarado","nome_completo","municipio","partido","uf_nascimento","genero","grau_instrucao","estado_civil","declar_racial","reeleicao","declar_bens","situacao"
33,1285,"EDILENE PEREIRA NEVES MACIEL","IGARAPÉ-MIRI","PC do B","PA","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
37,2692.7,"JESSE OLIVEIRA DA SILVA","ULIANÓPOLIS","PTB","MA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
31,4528.68,"ELIENE DALVA SILVA DAS NEVES OLIVEIRA","SANTARÉM","PSD","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
31,1943.72,"PAULO CAMPOS SOARES","BREVES","PT","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","N","NÃO ELEITO"
32,600,"RAMON DOS SANTOS SARAIVA","BARCARENA","REPUBLICANOS","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","N","NÃO ELEITO"
31,2665,"JOSÉ AUGUSTO CARVALHO DA SILVA","IGARAPÉ-MIRI","REPUBLICANOS","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","S","S","NÃO ELEITO"
40,982.5,"JOÃO BATISTA DE ALMEIDA","PIÇARRA","PT","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
31,45,"EDINEI DA COSTA DEMES","BREVES","MDB","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
33,850,"NAIRO BARROSO VIDAL","GARRAFÃO DO NORTE","MDB","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","N","S","ELEITO"
33,722.5,"WITALO JOSÉ ARAÚJO DE OLIVEIRA","TRACUATEUA","CIDADANIA","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","ELEITO"
48,200,"ROBSON AMORIN DOS SANTOS","SALVATERRA","SOLIDARIEDADE","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
30,100,"HERLANE DIAS DOS SANTOS","SÃO SEBASTIÃO DA BOA VISTA","PDT","PA","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,91,"ALEILMA DA SILVA ALMEIDA LIMA","REDENÇÃO","PC do B","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","N","N","NÃO ELEITO"
34,500,"JOERLANE SILVA DE FREITAS","URUARÁ","PP","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
38,1000,"ROSIENE PROGENIO TELES","CAMETÁ","PSD","PA","FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
31,301,"MARCOS DOS SANTOS DUARTE","PORTEL","PSC","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
38,200,"WANESSA MAGALY DOS SANTOS LEAL","SALVATERRA","SOLIDARIEDADE","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,275,"MARCIA MARTINS FERREIRA","ALENQUER","REDE","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,1038.6,"ELIANE BARBOSA DA SILVA","SANTA MARIA DAS BARREIRAS","PT","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
